state,end_date,pollster_rating_name,poll_id,partisan,sample_size,methodology,population,candidate_name,pct,raw_sample_size,candidates_tested,poll_sample_size_weight,number_options,undecided,numeric_grade,pollster_wt,cumulative_poll_wt,methodology_simple,region_computed,region_census_big,region_census_small
Arizona,2024-07-16,InsiderAdvantage,87477,center/independent,800,,lv,Joe Biden,44.0,800,Donald Trump Joe Biden,0.8913130356431728,2,7.0,1.97,1.0396120536844204,1.0396120536844204,Other,Southwest,West,Southwest
Arizona,2024-07-16,InsiderAdvantage,87477,center/independent,800,,lv,Donald Trump,49.0,800,Donald Trump Joe Biden,0.8913130356431728,2,7.0,1.97,1.0396120536844204,1.0396120536844204,Other,Southwest,West,Southwest
Nevada,2024-07-16,InsiderAdvantage,87476,center/independent,800,,lv,Joe Biden,42.0,800,Donald Trump Joe Biden,0.8913130356431728,2,9.0,1.97,1.0396120536844204,1.0396120536844204,Other,Southwest,West,Southwest
Nevada,2024-07-16,InsiderAdvantage,87476,center/independent,800,,lv,Donald Trump,49.0,800,Donald Trump Joe Biden,0.8913130356431728,2,9.0,1.97,1.0396120536844204,1.0396120536844204,Other,Southwest,West,Southwest
Pennsylvania,2024-07-16,InsiderAdvantage,87475,center/independent,800,,lv,Joe Biden,45.0,800,Donald Trump Joe Biden,0.8913130356431728,2,6.0,1.97,1.0396120536844204,1.0396120536844204,Other,Rust Belt,Midwest,Middle Atlantic
Pennsylvania,2024-07-16,InsiderAdvantage,87475,center/independent,800,,lv,Donald Trump,49.0,800,Donald Trump Joe Biden,0.8913130356431728,2,6.0,1.97,1.0396120536844204,1.0396120536844204,Other,Rust Belt,Midwest,Middle Atlantic
Florida,2024-07-16,InsiderAdvantage,87467,center/independent,800,,lv,Joe Biden,43.7,800,Donald Trump Joe Biden,0.8913130356431728,2,6.599999999999994,1.97,1.0396120536844204,1.0396120536844204,Other,Southeast,South,South Atlantic
Florida,2024-07-16,InsiderAdvantage,87467,center/independent,800,,lv,Donald Trump,49.7,800,Donald Trump Joe Biden,0.8913130356431728,2,6.599999999999994,1.97,1.0396120536844204,1.0396120536844204,Other,Southeast,South,South Atlantic
Wisconsin,2024-07-16,Emerson College,87459,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,4.0,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,7.900000000000006,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Wisconsin,2024-07-16,Emerson College,87459,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,42.6,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,7.900000000000006,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Wisconsin,2024-07-16,Emerson College,87459,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,45.5,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,7.900000000000006,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Pennsylvania,2024-07-16,Emerson College,87458,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,4.2,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,10.200000000000005,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,Middle Atlantic
Pennsylvania,2024-07-16,Emerson College,87458,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,39.7,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,10.200000000000005,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,Middle Atlantic
Pennsylvania,2024-07-16,Emerson College,87458,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,45.9,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,10.200000000000005,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,Middle Atlantic
North Carolina,2024-07-16,Emerson College,87457,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,5.5,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,9.900000000000006,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
North Carolina,2024-07-16,Emerson College,87457,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,37.6,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,9.900000000000006,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
North Carolina,2024-07-16,Emerson College,87457,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,47.0,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,9.900000000000006,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
Nevada,2024-07-16,Emerson College,87456,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,7.1,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,10.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southwest,West,Southwest
Nevada,2024-07-16,Emerson College,87456,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,40.0,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,10.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southwest,West,Southwest
Nevada,2024-07-16,Emerson College,87456,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,42.9,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,10.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southwest,West,Southwest
Michigan,2024-07-16,Emerson College,87455,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,6.5,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,11.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Michigan,2024-07-16,Emerson College,87455,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,39.9,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,11.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Michigan,2024-07-16,Emerson College,87455,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,42.6,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,11.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Rust Belt,Midwest,East North Central
Georgia,2024-07-16,Emerson College,87454,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,5.6,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,12.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-16,Emerson College,87454,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,38.7,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,12.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-16,Emerson College,87454,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,43.7,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,12.0,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
Arizona,2024-07-16,Emerson College,87453,left,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,5.7,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,12.700000000000005,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southwest,West,Southwest
Arizona,2024-07-16,Emerson College,87453,left,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,36.0,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,12.700000000000005,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southwest,West,Southwest
Arizona,2024-07-16,Emerson College,87453,left,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,45.6,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,12.700000000000005,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southwest,West,Southwest
National,2024-07-16,Emerson College,87451,left,1500,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,6.6,2000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.409289650415634,6,11.800000000000011,2.92,1.147097841545351,0.8111206624411695,IVR/Mostly IVR,,,
National,2024-07-16,Emerson College,87451,left,1500,IVR/Online Panel/Text-to-Web,rv,Joe Biden,37.8,2000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.409289650415634,6,11.800000000000011,2.92,1.147097841545351,0.8111206624411695,IVR/Mostly IVR,,,
National,2024-07-16,Emerson College,87451,left,1500,IVR/Online Panel/Text-to-Web,rv,Donald Trump,43.8,2000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.409289650415634,6,11.800000000000011,2.92,1.147097841545351,0.8111206624411695,IVR/Mostly IVR,,,
National,2024-07-16,Ipsos,87433,center/independent,992,Probability Panel,rv,Robert F. Kennedy,11.0,992,Donald Trump Joe Biden Robert F. Kennedy,0.9925241911959806,3,10.0,2.79,1.1341116208309965,0.8019380177120641,Online Prob Panel,,,
National,2024-07-16,Ipsos,87433,center/independent,992,Probability Panel,rv,Joe Biden,39.0,992,Donald Trump Joe Biden Robert F. Kennedy,0.9925241911959806,3,10.0,2.79,1.1341116208309965,0.8019380177120641,Online Prob Panel,,,
National,2024-07-16,Ipsos,87433,center/independent,992,Probability Panel,rv,Donald Trump,40.0,992,Donald Trump Joe Biden Robert F. Kennedy,0.9925241911959806,3,10.0,2.79,1.1341116208309965,0.8019380177120641,Online Prob Panel,,,
National,2024-07-15,Redfield & Wilton Strategies,87431,center/independent,1500,Online Panel,lv,Robert F. Kennedy,6.0,2621,Donald Trump Joe Biden Robert F. Kennedy,1.613313526951992,3,9.0,1.84,1.0220195548231945,0.7226769577207374,Online Non-Prob Panel,,,
National,2024-07-15,Redfield & Wilton Strategies,87431,center/independent,1500,Online Panel,lv,Joe Biden,42.0,2621,Donald Trump Joe Biden Robert F. Kennedy,1.613313526951992,3,9.0,1.84,1.0220195548231945,0.7226769577207374,Online Non-Prob Panel,,,
National,2024-07-15,Redfield & Wilton Strategies,87431,center/independent,1500,Online Panel,lv,Donald Trump,43.0,2621,Donald Trump Joe Biden Robert F. Kennedy,1.613313526951992,3,9.0,1.84,1.0220195548231945,0.7226769577207374,Online Non-Prob Panel,,,
Georgia,2024-07-16,InsiderAdvantage,87429,center/independent,800,,lv,Joe Biden,44.0,800,Donald Trump Joe Biden,0.8913130356431728,2,8.799999999999997,1.97,1.0396120536844204,1.0396120536844204,Other,Southeast,South,South Atlantic
Georgia,2024-07-16,InsiderAdvantage,87429,center/independent,800,,lv,Donald Trump,47.2,800,Donald Trump Joe Biden,0.8913130356431728,2,8.799999999999997,1.97,1.0396120536844204,1.0396120536844204,Other,Southeast,South,South Atlantic
National,2024-07-15,Morning Consult,87423,center/independent,1500,Online Panel,rv,Joe Biden,45.0,2045,Donald Trump Joe Biden,1.4250559667749592,2,9.0,1.8,1.016419236906677,0.6704973790399477,Online Non-Prob Panel,,,
National,2024-07-15,Morning Consult,87423,center/independent,1500,Online Panel,rv,Donald Trump,46.0,2045,Donald Trump Joe Biden,1.4250559667749592,2,9.0,1.8,1.016419236906677,0.6704973790399477,Online Non-Prob Panel,,,
Virginia,2024-07-15,Florida Atlantic University PolCom Lab/Mainstreet Research,87473,center/independent,265,IVR/Online Panel,lv,Robert F. Kennedy,4.0,265,Donald Trump Joe Biden Robert F. Kennedy,0.512989176042577,3,11.0,,1.0,0.7071067811865476,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-15,Florida Atlantic University PolCom Lab/Mainstreet Research,87473,center/independent,265,IVR/Online Panel,lv,Joe Biden,43.0,265,Donald Trump Joe Biden Robert F. Kennedy,0.512989176042577,3,11.0,,1.0,0.7071067811865476,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-15,Florida Atlantic University PolCom Lab/Mainstreet Research,87473,center/independent,265,IVR/Online Panel,lv,Donald Trump,42.0,265,Donald Trump Joe Biden Robert F. Kennedy,0.512989176042577,3,11.0,,1.0,0.7071067811865476,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-15,Florida Atlantic University PolCom Lab/Mainstreet Research,87471,center/independent,312,IVR/Online Panel,lv,Robert F. Kennedy,11.0,312,Donald Trump Joe Biden Robert F. Kennedy,0.5566248123538015,3,8.0,,1.0,0.7071067811865476,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-15,Florida Atlantic University PolCom Lab/Mainstreet Research,87471,center/independent,312,IVR/Online Panel,lv,Joe Biden,37.0,312,Donald Trump Joe Biden Robert F. Kennedy,0.5566248123538015,3,8.0,,1.0,0.7071067811865476,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-15,Florida Atlantic University PolCom Lab/Mainstreet Research,87471,center/independent,312,IVR/Online Panel,lv,Donald Trump,44.0,312,Donald Trump Joe Biden Robert F. Kennedy,0.5566248123538015,3,8.0,,1.0,0.7071067811865476,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-15,Emerson College,87468,center/independent,1000,IVR/Online Panel/Text-to-Web,rv,Robert F. Kennedy,7.5,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,11.599999999999994,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-15,Emerson College,87468,center/independent,1000,IVR/Online Panel/Text-to-Web,rv,Joe Biden,38.0,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,11.599999999999994,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-15,Emerson College,87468,center/independent,1000,IVR/Online Panel/Text-to-Web,rv,Donald Trump,42.9,1000,Chase Oliver Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,0.9965182684649138,6,11.599999999999994,2.92,1.147097841545351,1.147097841545351,IVR/Mostly IVR,Southeast,South,South Atlantic
National,2024-07-16,YouGov,87437,center/independent,1404,Online Panel,rv,Robert F. Kennedy,4.0,1404,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.1807795381761876,5,12.0,2.98,1.1529455986082322,0.8152556511150644,Online Non-Prob Panel,,,
National,2024-07-16,YouGov,87437,center/independent,1404,Online Panel,rv,Joe Biden,41.0,1404,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.1807795381761876,5,12.0,2.98,1.1529455986082322,0.8152556511150644,Online Non-Prob Panel,,,
National,2024-07-16,YouGov,87437,center/independent,1404,Online Panel,rv,Donald Trump,43.0,1404,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.1807795381761876,5,12.0,2.98,1.1529455986082322,0.8152556511150644,Online Non-Prob Panel,,,
National,2024-07-15,Harris Insights & Analytics,87435,center/independent,1500,Online Panel,rv,Robert F. Kennedy,13.0,1918,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.3800968548254526,5,5.0,1.5,0.971130433760347,0.971130433760347,Online Non-Prob Panel,,,
National,2024-07-15,Harris Insights & Analytics,87435,center/independent,1500,Online Panel,rv,Joe Biden,39.0,1918,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.3800968548254526,5,5.0,1.5,0.971130433760347,0.971130433760347,Online Non-Prob Panel,,,
National,2024-07-15,Harris Insights & Analytics,87435,center/independent,1500,Online Panel,rv,Donald Trump,43.0,1918,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.3800968548254526,5,5.0,1.5,0.971130433760347,0.971130433760347,Online Non-Prob Panel,,,
National,2024-07-15,SurveyUSA,87449,center/independent,1098,Online Panel,lv,Joe Biden,43.0,1098,Donald Trump Joe Biden,1.04420660216452,2,13.0,2.82,1.1371480914321712,1.1371480914321712,Online Non-Prob Panel,,,
National,2024-07-15,SurveyUSA,87449,center/independent,1098,Online Panel,lv,Donald Trump,44.0,1098,Donald Trump Joe Biden,1.04420660216452,2,13.0,2.82,1.1371480914321712,1.1371480914321712,Online Non-Prob Panel,,,
National,2024-07-14,Big Village,87432,center/independent,1499,Online Panel,lv,Robert F. Kennedy,8.5,1499,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.220073743843822,5,9.800000000000011,1.45,0.9629345075024468,0.9629345075024468,Online Non-Prob Panel,,,
National,2024-07-14,Big Village,87432,center/independent,1499,Online Panel,lv,Joe Biden,40.9,1499,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.220073743843822,5,9.800000000000011,1.45,0.9629345075024468,0.9629345075024468,Online Non-Prob Panel,,,
National,2024-07-14,Big Village,87432,center/independent,1499,Online Panel,lv,Donald Trump,40.8,1499,Cornel West Donald Trump Jill Stein Joe Biden Robert F. Kennedy,1.220073743843822,5,9.800000000000011,1.45,0.9629345075024468,0.9629345075024468,Online Non-Prob Panel,,,
National,2024-07-14,Morning Consult,87411,center/independent,1500,Online Panel,rv,Joe Biden,42.0,11328,Donald Trump Joe Biden,1.836678059957297,2,14.0,1.8,1.016419236906677,0.6704973790399477,Online Non-Prob Panel,,,
National,2024-07-14,Morning Consult,87411,center/independent,1500,Online Panel,rv,Donald Trump,44.0,11328,Donald Trump Joe Biden,1.836678059957297,2,14.0,1.8,1.016419236906677,0.6704973790399477,Online Non-Prob Panel,,,
National,2024-07-14,3W Insights,87402,left,1500,Online Panel,lv,Joe Biden,42.8,2426,Donald Trump Joe Biden,1.5521391843730818,2,10.700000000000005,,1.0,0.7071067811865476,Online Non-Prob Panel,,,
National,2024-07-14,3W Insights,87402,left,1500,Online Panel,lv,Donald Trump,46.5,2426,Donald Trump Joe Biden,1.5521391843730818,2,10.700000000000005,,1.0,0.7071067811865476,Online Non-Prob Panel,,,
Georgia,2024-07-13,Florida Atlantic University PolCom Lab/Mainstreet Research,87441,center/independent,549,IVR/Online Panel,lv,Robert F. Kennedy,6.0,549,Donald Trump Joe Biden Robert F. Kennedy,0.7383655693502955,3,8.0,,1.0,1.0,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-13,Florida Atlantic University PolCom Lab/Mainstreet Research,87441,center/independent,549,IVR/Online Panel,lv,Joe Biden,40.0,549,Donald Trump Joe Biden Robert F. Kennedy,0.7383655693502955,3,8.0,,1.0,1.0,IVR/Mostly IVR,Southeast,South,South Atlantic
Georgia,2024-07-13,Florida Atlantic University PolCom Lab/Mainstreet Research,87441,center/independent,549,IVR/Online Panel,lv,Donald Trump,46.0,549,Donald Trump Joe Biden Robert F. Kennedy,0.7383655693502955,3,8.0,,1.0,1.0,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-13,Florida Atlantic University PolCom Lab/Mainstreet Research,87440,center/independent,544,IVR/Online Panel,lv,Robert F. Kennedy,10.0,544,Donald Trump Joe Biden Robert F. Kennedy,0.734995558289344,3,9.0,,1.0,1.0,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-13,Florida Atlantic University PolCom Lab/Mainstreet Research,87440,center/independent,544,IVR/Online Panel,lv,Joe Biden,42.0,544,Donald Trump Joe Biden Robert F. Kennedy,0.734995558289344,3,9.0,,1.0,1.0,IVR/Mostly IVR,Southeast,South,South Atlantic
Virginia,2024-07-13,Florida Atlantic University PolCom Lab/Mainstreet Research,87440,center/independent,544,IVR/Online Panel,lv,Donald Trump,39.0,544,Donald Trump Joe Biden Robert F. Kennedy,0.734995558289344,3,9.0,,1.0,1.0,IVR/Mostly IVR,Southeast,South,South Atlantic
