Site,Ad Fontes url,Reliability,Bias
GQ,https://adfontesmedia.com/gq-bias-and-reliability/,36.13,-9.47
Graham Allen’s Dear America Podcast,https://adfontesmedia.com/graham-allens-dear-america-podcast-bias-reliability/,16.24,23.09
Greg Kelly Reports,https://adfontesmedia.com/greg-kelly-reports-bias-and-reliability/,19.43,22.73
Hacks on Tap,https://adfontesmedia.com/hacks-on-tap-bias-and-reliability/,45.67,-5.22
Hallie Jackson Reports,https://adfontesmedia.com/hallie-jackson-reports-bias-and-reliability/,42.78,-7.33
Hannity,https://adfontesmedia.com/hannity-bias-and-reliability/,17.7,24.3
Hard Factor News,https://adfontesmedia.com/hard-factor-news-bias-and-reliability/,23.56,5
Harper’s Bazaar,https://adfontesmedia.com/harpers-bazaar-bias-and-reliability/,43.02,-6.46
Hartford Courant,https://adfontesmedia.com/hartford-courant-bias-and-reliability/,47.42,-0.98
Hawaii News Now,https://adfontesmedia.com/hawaii-news-now-bias-and-reliability/,46.21,-0.12
Heavy,https://adfontesmedia.com/heavy-bias-and-reliability/,43.64,-2.71
Here’s Where it Gets Interesting,https://adfontesmedia.com/heres-where-gets-interesting-bias-reliability/,46.93,-1.85
High Country News,https://adfontesmedia.com/high-country-news-bias-and-reliability/,43.16,-8.92
Hill Reporter,https://adfontesmedia.com/hill-reporter-bias-and-reliability/,32.56,-13.11
Hodgetwins,https://adfontesmedia.com/hodgetwins-bias-and-reliability/,19,25.33
Hold These Truths with Dan Crenshaw,https://adfontesmedia.com/hold-these-truths-with-dan-crenshaw/,34.27,15.56
HotAir,https://adfontesmedia.com/hotair-bias-and-reliability/,24.77,12.78
Houston Chronicle,https://adfontesmedia.com/houston-chronicle-bias-and-reliability/,44.67,-4.12
Huckabee,https://adfontesmedia.com/huckabee-bias-and-reliability/,22.1,19.17
HuffPost,https://adfontesmedia.com/huffpost-bias-and-reliability/,37.89,-10.63
In the Bubble with Andy Slavitt,https://adfontesmedia.com/in-the-bubble-with-andy-slavitt-bias-and-reliability/,41.47,-8.92
In These Times,https://adfontesmedia.com/in-these-times-bias-reliability/,34.87,-17.96
Independent Journal Review,https://adfontesmedia.com/independent-journal-review-bias-and-reliability/,25.81,12.82
Indianapolis Star,https://adfontesmedia.com/indianapolis-star-bias-and-reliability/,48.57,-1.44
InfoWars,https://adfontesmedia.com/infowars-bias-and-reliability/,14.86,25.43
Inquisitr,https://adfontesmedia.com/inquisitr-bias-and-reliability/,32.46,-7.13
Inside Climate News,https://adfontesmedia.com/inside-climate-news-bias-and-reliability/,45.79,-9.2
Inside Politics With Abby Phillip,https://adfontesmedia.com/inside-politics-with-abby-phillip-bias-and-reliability/,38.44,-9.33
Inside Politics with John King,https://adfontesmedia.com/inside-politics-with-john-king-bias-and-reliability/,38.89,-8.78
Inside Story,https://adfontesmedia.com/inside-story-bias-and-reliability/,32.89,-19.78
Inside the Hive Podcast,https://adfontesmedia.com/inside-the-hive-podcast-bias-and-reliability/,35.67,-12.44
International Business Times,https://adfontesmedia.com/international-business-times-bias-and-reliability/,42.28,-2.74
Jacobin,https://adfontesmedia.com/jacobin-bias-and-reliability/,31.69,-21.47
Jesse Watters Primetime,https://adfontesmedia.com/jesse-watters-primetime-bias-and-reliability/,17.21,23.73
Jezebel,https://adfontesmedia.com/jezebel-bias-and-reliability/,29.2,-18.18
John Bachman Now,https://adfontesmedia.com/john-bachman-now-bias-and-reliability/,27.37,18.7
John Solomon Reports,https://adfontesmedia.com/john-solomon-reports-bias-and-reliability/,13.86,24.6
Jose Diaz-Balart Reports,https://adfontesmedia.com/jose-diaz-balart-reports-bias-and-reliability/,41.25,-10.31
Judicial Watch,https://adfontesmedia.com/judicial-watch-bias-and-reliability/,23.64,23.27
Junkee,https://adfontesmedia.com/junkee-bias-and-reliability/,38.96,-7.74
Just the News,https://adfontesmedia.com/just-the-news-bias-and-reliability/,33.06,10.93
Justice with Judge Jeanine,https://adfontesmedia.com/justice-with-judge-jeanine-bias-and-reliability/,17.1,25.4
Kansas City Star,https://adfontesmedia.com/kansas-city-star-bias-and-reliability/,43.24,-5.86
Kasich & Klepper,https://adfontesmedia.com/kasich-klepper-bias-and-reliability/,40.56,-1.44
Katy Tur Reports,https://adfontesmedia.com/katy-tur-reports-bias-and-reliability/,29.38,-16.39
Kennedy Saves the World,https://adfontesmedia.com/kennedy-saves-the-world-bias-and-reliability/,36,8
LA Times,https://adfontesmedia.com/la-times-bias-and-reliability/,43.01,-6.41
LA Weekly,https://adfontesmedia.com/la-weekly-bias-and-reliability/,43.99,-2.51
Laconia Daily Sun,https://adfontesmedia.com/laconia-daily-sun-bias-and-reliability/,45.36,0.4
Las Vegas Review-Journal,https://adfontesmedia.com/las-vegas-review-journal-bias-and-reliability/,42.4,3.06
Last Week Tonight with John Oliver,https://adfontesmedia.com/last-week-tonight-john-oliver-bias-and-reliability/,26.94,-16.87
Law and Crime,https://adfontesmedia.com/law-crime-bias-and-reliability/,45.63,-3.78
Lawrence Jones Cross Country,https://adfontesmedia.com/lawrence-jones-cross-country-bias-and-reliability/,30.89,17.25
"Left, Right & Center",https://adfontesmedia.com/left-right-center-bias-and-reliability/,39,-1.22
Let’s Talk Elections,https://adfontesmedia.com/lets-talk-elections-bias-and-reliability/,39.15,-6.4
Letters from an American – Heather Cox Richardson,https://adfontesmedia.com/letters-from-american-heather-cox-richardson-bias-reliability/,37.24,-12.77
LevinTV,https://adfontesmedia.com/levintv-bias-and-reliability/,16.67,24.92
Lex Fridman Podcast,https://adfontesmedia.com/lex-fridman-podcast-bias-and-reliability/,26.3,-3.7
Liberty Nation,https://adfontesmedia.com/liberty-nation-bias-and-reliability/,23.32,17.8
Life News,https://adfontesmedia.com/life-news-bias-and-reliability/,20.44,20
"Life, Liberty and Levin",https://adfontesmedia.com/life-liberty-and-levin-bias-and-reliability/,18.67,27.59
Lifesite News,https://adfontesmedia.com/lifesite-news-bias-and-reliability/,16.17,20.96
LifeZette,https://adfontesmedia.com/lifezette-bias-and-reliability/,22.01,22.32
Lindell TV,https://adfontesmedia.com/lindell-tv-bias-and-reliability/,12.75,28.33
Lost Debate,https://adfontesmedia.com/lost-debate-bias-and-reliability/,36.22,2.11
Louder With Crowder,https://adfontesmedia.com/louder-with-crowder-bias-and-reliability/,8.93,31.33
Lovett or Leave It,https://adfontesmedia.com/lovett-or-leave-it-bias-and-reliability/,22.18,-24.13
Mad Money,https://adfontesmedia.com/mad-money-bias-and-reliability/,36.33,1.22
Majority 54,https://adfontesmedia.com/majority-54-bias-and-reliability/,32.44,-18.8
Make Me Smart,https://adfontesmedia.com/make-me-smart-with-kai-and-molly-bias-and-reliability/,38.8,-9.42
Making Money with Charles Payne,https://adfontesmedia.com/making-money-with-charles-payne-bias-and-reliability/,38.83,6.41
Making Sense with Sam Harris,https://adfontesmedia.com/making-sense-with-sam-harris-bias-and-reliability/,34.17,1.87
Marine Corps Times,https://adfontesmedia.com/marine-corps-times-bias-and-reliability/,45.02,0.16
Marketplace,https://adfontesmedia.com/marketplace-bias-and-reliability/,44.89,-2
MarketWatch,https://adfontesmedia.com/marketwatch-bias-and-reliability/,41.41,-3.82
Mashable,https://adfontesmedia.com/mashable-bias-and-reliability/,40.27,-8.73
Mea Culpa with Michael Cohen,https://adfontesmedia.com/mea-culpa-with-michael-cohen-bias-and-reliability/,31.42,-21.08
Media Matters for America,https://adfontesmedia.com/media-matters-for-america-bias-and-reliability/,26.45,-15.06
MEDIAite,https://adfontesmedia.com/mediaite-bias-and-reliability/,37.25,-8.64
Meet the Press,https://adfontesmedia.com/meet-the-press-bias-and-reliability/,33.58,-10.62
Meet the Press NOW,https://adfontesmedia.com/mtp-daily-bias-and-reliability/,36.42,-13.47
MeidasTouch News,https://adfontesmedia.com/meidas-touch-bias-and-reliability/,27.07,-19.9
Mercury News,https://adfontesmedia.com/mercury-news-bias-and-reliability/,44.77,-3.08
Miami Herald,https://adfontesmedia.com/miami-herald-bias-and-reliability/,42.95,-7.01
Mic,https://adfontesmedia.com/mic-bias-and-reliability/,35.89,-15.74
Military Officers Association of America MOAA,https://adfontesmedia.com/moaa-bias-and-reliability/,41.56,-0.2
Military Times,https://adfontesmedia.com/military-times-bias-and-reliability/,46.49,-0.19
Milwaukee Journal Sentinel,https://adfontesmedia.com/milwaukee-journal-sentinel-bias-and-reliability/,46.99,-7.01
MintPress News,https://adfontesmedia.com/mintpress-news-bias-and-reliability/,34.03,-17.99
Mo News Podcast,https://adfontesmedia.com/mo-news-podcast-bias-reliability/,41.86,-6.4
Montana Free Press,https://adfontesmedia.com/montana-free-press-bias-and-reliability/,46.33,-3.8
Morning Brew,https://adfontesmedia.com/morning-brew-bias-and-reliability/,45.47,-0.22
Morning Joe,https://adfontesmedia.com/morning-joe-bias-and-reliability/,29.33,-14.7
