sponsors,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,question_id,sample_size,population,partisan,party,candidate_name,pct,da_by_pop,pop_raverage7
,,,,,,,,2024-08-21,,,All adults,,,Joe Biden,,,
,,,,,,,,2024-08-21,,,Likely voters,,,Joe Biden,,,
,SurveyUSA,2.8,-1.3,Online Panel,10.0,North Carolina,8/19/2024,2024-08-21,206654.0,1053.0, Registered voters,,DEM,Kamala Harris,46.0,46.5,47.357142857142854
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206719.0,1000.0, Registered voters,,DEM,Kamala Harris,47.0,46.5,47.285714285714285
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206718.0,1200.0,All adults,,DEM,Kamala Harris,44.0,44.0,44.02448979591837
,SurveyUSA,2.8,-1.3,Online Panel,10.0,North Carolina,8/19/2024,2024-08-21,206735.0,941.0,Likely voters,,DEM,Kamala Harris,47.0,52.65,56.13214285714286
,ActiVote,,,App Panel,8.0,New York,8/1/2024,2024-08-21,206561.0,400.0,Likely voters,,DEM,Kamala Harris,58.3,52.65,55.435714285714276
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206719.0,1000.0, Registered voters,,IND,Robert F. Kennedy,5.0,5.0,5.208163265306122
,The Bullfinch Group,,,Online Panel,4.0,,8/19/2024,2024-08-21,206718.0,1200.0,All adults,,IND,Robert F. Kennedy,5.0,5.0,5.914285714285714
Economist,YouGov,2.9,-1.1,Online Panel,9.0,,8/17/2024,2024-08-20,206527.0,1371.0, Registered voters,,IND,Cornel West,0.0,0.0,0.29999999999999993
Economist,YouGov,2.9,-1.1,Online Panel,9.0,,8/17/2024,2024-08-20,206527.0,1371.0, Registered voters,,REP,Donald Trump,43.0,43.0,43.510714285714286
,Fairleigh Dickinson University,2.6,-0.6,Live Phone/Text-to-Web,9.5,,8/17/2024,2024-08-20,206737.0,801.0, Registered voters,,REP,Donald Trump,43.0,43.0,43.385714285714286
,,,,,,,,2024-08-20,,,All adults,,,Donald Trump,,39.0,40.42448979591837
,,,,,,,,2024-08-20,,,Likely voters,,,Donald Trump,,44.35,39.642857142857146
Economist,YouGov,2.9,-1.1,Online Panel,9.0,,8/17/2024,2024-08-20,206527.0,1371.0, Registered voters,,GRE,Jill Stein,0.0,0.0,0.3918367346938773
,,,,,,,,2024-08-20,,, Registered voters,,,Joe Biden,,,
,,,,,,,,2024-08-20,,,All adults,,,Joe Biden,,,
,,,,,,,,2024-08-20,,,Likely voters,,,Joe Biden,,,
Economist,YouGov,2.9,-1.1,Online Panel,9.0,,8/17/2024,2024-08-20,206527.0,1371.0, Registered voters,,DEM,Kamala Harris,46.0,48.0,47.57142857142857
,Fairleigh Dickinson University,2.6,-0.6,Live Phone/Text-to-Web,9.5,,8/17/2024,2024-08-20,206737.0,801.0, Registered voters,,DEM,Kamala Harris,50.0,48.0,47.57142857142857
,,,,,,,,2024-08-20,,,All adults,,,Kamala Harris,,44.0,44.49387755102041
,,,,,,,,2024-08-20,,,Likely voters,,,Kamala Harris,,52.65,56.82857142857142
Economist,YouGov,2.9,-1.1,Online Panel,9.0,,8/17/2024,2024-08-20,206527.0,1371.0, Registered voters,,IND,Robert F. Kennedy,3.0,3.0,5.310204081632653
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206546.0,2048.0,Likely voters,,LIB,Chase Oliver,0.0,0.6,0.6214285714285716
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206548.0,924.0,Likely voters,,LIB,Chase Oliver,0.0,0.6,0.6285714285714287
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206550.0,951.0,Likely voters,,LIB,Chase Oliver,1.0,0.6,0.6357142857142858
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206551.0,490.0,Likely voters,,LIB,Chase Oliver,1.0,0.6,0.6428571428571429
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206552.0,443.0,Likely voters,,LIB,Chase Oliver,1.0,0.6,0.65
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206548.0,924.0,Likely voters,,IND,Cornel West,0.0,0.0,0.7999999999999999
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206550.0,951.0,Likely voters,,IND,Cornel West,0.0,0.0,0.7000000000000001
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206551.0,490.0,Likely voters,,IND,Cornel West,0.0,0.0,0.6000000000000002
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206552.0,443.0,Likely voters,,IND,Cornel West,0.0,0.0,0.45714285714285724
,,,,,,,,2024-08-19,,, Registered voters,,,Donald Trump,,43.0,43.635714285714286
,,,,,,,,2024-08-19,,,All adults,,,Donald Trump,,39.0,41.118367346938776
,InsiderAdvantage,2.0,-0.4,,5.0,Pennsylvania,8/18/2024,2024-08-19,206432.0,800.0,Likely voters,,REP,Donald Trump,46.6,38.858333333333334,43.773746867167915
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206546.0,2048.0,Likely voters,,REP,Donald Trump,43.0,38.858333333333334,42.613659147869676
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206547.0,2048.0,Likely voters,,REP,Donald Trump,47.0,38.858333333333334,41.45357142857143
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206548.0,924.0,Likely voters,,REP,Donald Trump,27.0,38.858333333333334,41.0047619047619
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206549.0,924.0,Likely voters,,REP,Donald Trump,29.0,38.858333333333334,40.55595238095238
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206550.0,951.0,Likely voters,,REP,Donald Trump,38.0,38.858333333333334,39.707142857142856
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206553.0,951.0,Likely voters,,REP,Donald Trump,41.0,38.858333333333334,38.858333333333334
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206551.0,490.0,Likely voters,,REP,Donald Trump,33.0,38.858333333333334,38.858333333333334
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206554.0,476.0,Likely voters,,REP,Donald Trump,36.0,38.858333333333334,38.858333333333334
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206552.0,443.0,Likely voters,,REP,Donald Trump,44.0,38.858333333333334,38.858333333333334
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206555.0,432.0,Likely voters,,REP,Donald Trump,47.0,38.858333333333334,38.858333333333334
,ActiVote,,,App Panel,8.0,California,8/2/2024,2024-08-19,206401.0,400.0,Likely voters,,REP,Donald Trump,34.7,38.858333333333334,38.858333333333334
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206546.0,2048.0,Likely voters,,GRE,Jill Stein,0.0,0.5,0.41428571428571426
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206550.0,951.0,Likely voters,,GRE,Jill Stein,1.0,0.5,0.42142857142857143
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206551.0,490.0,Likely voters,,GRE,Jill Stein,0.0,0.5,0.42857142857142855
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206552.0,443.0,Likely voters,,GRE,Jill Stein,1.0,0.5,0.43571428571428567
,,,,,,,,2024-08-19,,, Registered voters,,,Joe Biden,,,
,,,,,,,,2024-08-19,,,All adults,,,Joe Biden,,,
,,,,,,,,2024-08-19,,,Likely voters,,,Joe Biden,,,
,,,,,,,,2024-08-19,,, Registered voters,,,Kamala Harris,,48.0,47.57142857142857
,,,,,,,,2024-08-19,,,All adults,,,Kamala Harris,,44.0,44.963265306122445
,InsiderAdvantage,2.0,-0.4,,5.0,Pennsylvania,8/18/2024,2024-08-19,206432.0,800.0,Likely voters,,DEM,Kamala Harris,46.0,57.525,49.744172932330834
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206546.0,2048.0,Likely voters,,DEM,Kamala Harris,50.0,57.525,50.99887218045113
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206547.0,2048.0,Likely voters,,DEM,Kamala Harris,52.0,57.525,52.25357142857143
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206548.0,924.0,Likely voters,,DEM,Kamala Harris,67.0,57.525,53.542857142857144
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206549.0,924.0,Likely voters,,DEM,Kamala Harris,70.0,57.525,54.83214285714286
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206550.0,951.0,Likely voters,,DEM,Kamala Harris,55.0,57.525,56.17857142857143
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206553.0,951.0,Likely voters,,DEM,Kamala Harris,58.0,57.525,57.52499999999999
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206551.0,490.0,Likely voters,,DEM,Kamala Harris,62.0,57.525,57.525
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206554.0,476.0,Likely voters,,DEM,Kamala Harris,64.0,57.525,57.525
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206552.0,443.0,Likely voters,,DEM,Kamala Harris,49.0,57.525,57.52499999999999
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206555.0,432.0,Likely voters,,DEM,Kamala Harris,52.0,57.525,57.525
,ActiVote,,,App Panel,8.0,California,8/2/2024,2024-08-19,206401.0,400.0,Likely voters,,DEM,Kamala Harris,65.3,57.525,57.52499999999999
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,New Hampshire,8/15/2024,2024-08-19,206546.0,2048.0,Likely voters,,IND,Robert F. Kennedy,4.0,2.6,3.9614285714285713
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Vermont,8/15/2024,2024-08-19,206548.0,924.0,Likely voters,,IND,Robert F. Kennedy,3.0,2.6,3.7171428571428575
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine,8/15/2024,2024-08-19,206550.0,951.0,Likely voters,,IND,Robert F. Kennedy,2.0,2.6,3.4728571428571433
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-1,8/15/2024,2024-08-19,206551.0,490.0,Likely voters,,IND,Robert F. Kennedy,2.0,2.6,3.228571428571428
,University of New Hampshire Survey Center,2.6,-0.3,Probability Panel,10.0,Maine CD-2,8/15/2024,2024-08-19,206552.0,443.0,Likely voters,,IND,Robert F. Kennedy,2.0,2.6,3.1000000000000005
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206443.0,1698.0, Registered voters,,IND,Cornel West,1.2,1.2,0.3714285714285714
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206442.0,2022.0,All adults,,IND,Cornel West,1.2,1.2,1.2142857142857142
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206444.0,1530.0,Likely voters,,IND,Cornel West,1.2,1.2,0.9000000000000001
On Point Politics | Red Eagle Politics,SoCal Research,,,Online Panel,9.0,,8/18/2024,2024-08-18,206399.0,1000.0, Registered voters,REP,REP,Donald Trump,47.0,43.56666666666666,43.84880952380952
,Morning Consult,1.8,-0.2,Online Panel,3.0,,8/16/2024,2024-08-18,206398.0,11501.0, Registered voters,,REP,Donald Trump,44.0,43.56666666666666,43.804761904761904
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206443.0,1698.0, Registered voters,,REP,Donald Trump,39.7,43.56666666666666,43.760714285714286
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206442.0,2022.0,All adults,,REP,Donald Trump,36.7,36.7,41.81224489795918
On Point Politics | Red Eagle Politics,SoCal Research,,,Online Panel,9.0,,8/18/2024,2024-08-18,206400.0,876.0,Likely voters,REP,REP,Donald Trump,48.0,44.8,45.245112781954894
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206444.0,1530.0,Likely voters,,REP,Donald Trump,41.6,44.8,44.93383458646616
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206443.0,1698.0, Registered voters,,GRE,Jill Stein,0.6,0.6,0.4530612244897957
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206442.0,2022.0,All adults,,GRE,Jill Stein,0.9,0.9,0.4959183673469388
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206444.0,1530.0,Likely voters,,GRE,Jill Stein,0.6,0.6,0.40714285714285714
,,,,,,,,2024-08-18,,, Registered voters,,,Joe Biden,,,
,,,,,,,,2024-08-18,,,All adults,,,Joe Biden,,,
,,,,,,,,2024-08-18,,,Likely voters,,,Joe Biden,,,
On Point Politics | Red Eagle Politics,SoCal Research,,,Online Panel,9.0,,8/18/2024,2024-08-18,206399.0,1000.0, Registered voters,REP,DEM,Kamala Harris,49.0,47.0,47.857142857142854
,Morning Consult,1.8,-0.2,Online Panel,3.0,,8/16/2024,2024-08-18,206398.0,11501.0, Registered voters,,DEM,Kamala Harris,48.0,47.0,47.714285714285715
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206443.0,1698.0, Registered voters,,DEM,Kamala Harris,44.0,47.0,47.57142857142857
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206442.0,2022.0,All adults,,DEM,Kamala Harris,40.8,40.8,45.432653061224485
On Point Politics | Red Eagle Politics,SoCal Research,,,Online Panel,9.0,,8/18/2024,2024-08-18,206400.0,876.0,Likely voters,REP,DEM,Kamala Harris,50.0,48.1,48.5812030075188
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206444.0,1530.0,Likely voters,,DEM,Kamala Harris,46.2,48.1,48.48947368421053
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206443.0,1698.0, Registered voters,,IND,Robert F. Kennedy,5.6,5.6,5.697959183673469
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206442.0,2022.0,All adults,,IND,Robert F. Kennedy,6.4,6.4,6.057142857142857
,Big Village,1.6,0.3,Online Panel,9.0,,8/14/2024,2024-08-18,206444.0,1530.0,Likely voters,,IND,Robert F. Kennedy,5.2,5.2,4.2057142857142855
,Remington Research Group,2.6,-0.7,IVR,7.0,Nebraska CD-2,8/14/2024,2024-08-17,206470.0,656.0,Likely voters,,LIB,Chase Oliver,1.0,1.0,0.6142857142857142
,Remington Research Group,2.6,-0.7,IVR,7.0,Nebraska CD-2,8/14/2024,2024-08-17,206470.0,656.0,Likely voters,,IND,Cornel West,1.0,1.0,0.8285714285714286
,Morning Consult,1.8,-0.2,Online Panel,3.0,,8/15/2024,2024-08-17,206425.0,4000.0, Registered voters,,REP,Donald Trump,44.0,44.0,43.892857142857146
,,,,,,,,2024-08-17,,,All adults,,,Donald Trump,,36.7,42.834693877551025
,Remington Research Group,2.6,-0.7,IVR,7.0,Nebraska CD-2,8/14/2024,2024-08-17,206470.0,656.0,Likely voters,,REP,Donald Trump,42.0,42.0,46.26766917293234
Future Majority PAC,Change Research,1.4,0.6,Text-to-Web/Online Ad,5.0,Nebraska CD-2,8/10/2024,2024-08-17,206653.0,437.0,Likely voters,DEM,REP,Donald Trump,42.0,42.0,45.556390977443606
,Remington Research Group,2.6,-0.7,IVR,7.0,Nebraska CD-2,8/14/2024,2024-08-17,206470.0,656.0,Likely voters,,GRE,Jill Stein,0.0,0.0,0.38571428571428573
,,,,,,,,2024-08-17,,, Registered voters,,,Joe Biden,,,
,,,,,,,,2024-08-17,,,All adults,,,Joe Biden,,,
,,,,,,,,2024-08-17,,,Likely voters,,,Joe Biden,,,
,Morning Consult,1.8,-0.2,Online Panel,3.0,,8/15/2024,2024-08-17,206425.0,4000.0, Registered voters,,DEM,Kamala Harris,48.0,48.0,48.0
,,,,,,,,2024-08-17,,,All adults,,,Kamala Harris,,40.8,46.35918367346938
,Remington Research Group,2.6,-0.7,IVR,7.0,Nebraska CD-2,8/14/2024,2024-08-17,206470.0,656.0,Likely voters,,DEM,Kamala Harris,50.0,48.5,48.70751879699248
Future Majority PAC,Change Research,1.4,0.6,Text-to-Web/Online Ad,5.0,Nebraska CD-2,8/10/2024,2024-08-17,206653.0,437.0,Likely voters,DEM,DEM,Kamala Harris,47.0,48.5,48.67293233082707
,Remington Research Group,2.6,-0.7,IVR,7.0,Nebraska CD-2,8/14/2024,2024-08-17,206470.0,656.0,Likely voters,,IND,Robert F. Kennedy,2.0,3.5,4.194285714285714
Future Majority PAC,Change Research,1.4,0.6,Text-to-Web/Online Ad,5.0,Nebraska CD-2,8/10/2024,2024-08-17,206653.0,437.0,Likely voters,DEM,IND,Robert F. Kennedy,5.0,3.5,4.078571428571429
,Focaldata,,,,3.0,Pennsylvania,8/6/2024,2024-08-16,206391.0,, Registered voters,,LIB,Chase Oliver,0.0,0.14285714285714285,0.913265306122449
,Focaldata,,,,3.0,Michigan,8/6/2024,2024-08-16,206382.0,, Registered voters,,LIB,Chase Oliver,0.0,0.14285714285714285,0.7551020408163265
,Focaldata,,,,3.0,Georgia,8/6/2024,2024-08-16,206379.0,, Registered voters,,LIB,Chase Oliver,0.0,0.14285714285714285,0.6326530612244898
,Focaldata,,,,3.0,Arizona,8/6/2024,2024-08-16,206376.0,, Registered voters,,LIB,Chase Oliver,0.0,0.14285714285714285,0.5102040816326531
,Focaldata,,,,3.0,North Carolina,8/6/2024,2024-08-16,206388.0,, Registered voters,,LIB,Chase Oliver,0.0,0.14285714285714285,0.38775510204081637
,Focaldata,,,,3.0,Wisconsin,8/6/2024,2024-08-16,206394.0,, Registered voters,,LIB,Chase Oliver,0.0,0.14285714285714285,0.2653061224489796
,Focaldata,,,,3.0,Nevada,8/6/2024,2024-08-16,206385.0,, Registered voters,,LIB,Chase Oliver,1.0,0.14285714285714285,0.14285714285714285
,Focaldata,,,,3.0,Pennsylvania,8/6/2024,2024-08-16,206390.0,719.0,All adults,,LIB,Chase Oliver,0.0,0.14285714285714285,0.14285714285714285
,Focaldata,,,,3.0,Michigan,8/6/2024,2024-08-16,206381.0,702.0,All adults,,LIB,Chase Oliver,0.0,0.14285714285714285,0.14285714285714285
,Focaldata,,,,3.0,Georgia,8/6/2024,2024-08-16,206378.0,651.0,All adults,,LIB,Chase Oliver,0.0,0.14285714285714285,0.14285714285714285
,Focaldata,,,,3.0,Arizona,8/6/2024,2024-08-16,206375.0,702.0,All adults,,LIB,Chase Oliver,0.0,0.14285714285714285,0.14285714285714285
,Focaldata,,,,3.0,North Carolina,8/6/2024,2024-08-16,206387.0,702.0,All adults,,LIB,Chase Oliver,0.0,0.14285714285714285,0.14285714285714285
